word,meaning
elocution,public speaking skill/ sahee hav bhav k saath/ with correct facial expression.
splice,rassi/ wires ka jod/ 2 sire ka patch ya ganth/ Verb:-splicing.
thoroughly,"puri tarah se, mukammil, bilkul."
timid,"Derpok, Buzdil"
tip off,Kisi hadse/ situation/ location ki pehle hi razdari se khaber dedena.
nook,Kona/ Gosha/ corner/ cozy place.
trample,Pairo se kuchalna/ Chalte hue masalna.
skeptical,"Maskook, Doubtful, confused to beleive."
peck,parinde ki choch marna / chugna.
imitate,nakal kerna/ behave or follow someone /something in a similar way.
adverse,Ulat/ Manfi. Adversity: Mussebat ya namunasib haalaat
phase out,dhire dhire kisi chiz ka istemal hatana/ band kerna. In phasely manner.
takeaway,speech or lecture k main points. Only parcel wala restaurent.
mindfully,"Dhyan se, khyal se, soch samajh ker."
own up,Maanna/Iqrar kerna galti wagaira ka.
confine,simit kerna/rehna * Kisi limit me bandhe rehna.
detriment,nuksaan
vain,"useless, bekaar."
beak,parindey ki choch.
fire hose,fire brigade k pipe ka metallic nozel jisme se pressure se paani nikalta hai.
hop,choti chalang/ uchalna/ fudakna/ uchal ker baithna/ kisi k uper uchalna.
crisper,firdge me sabzi wala nichla container.
empathy,to understand anothers situation & try to treat accordinlgy.
dozy,"feeling sleepy/ Neend aana, mehsoos hona."
